rr_co2_x,rr_co2_y
19.42,28.5714
21.5233,28.5261
23.6467,28.2575
25.7867,28.0374
27.89,28.5261
29.9067,29.7521
32.02,28.3912
34.0067,30.2013
36.01,29.9501
38.0933,28.8
40.14,29.316
42.24,28.5714
44.2967,29.1734
46.4167,28.3019
48.4433,29.6053
50.48,29.4599
52.5233,29.3638
54.6933,27.6498
56.8167,28.2575
58.9167,28.5714
61.0067,28.7081
63.1533,27.9503
65.2933,28.0374
67.37,28.8925
69.3633,30.1003
71.4967,28.125
73.65,27.8638
75.7167,29.0323
77.7833,29.0323
79.8433,29.1262
81.87,29.6053
83.8533,30.2521
85.89,29.4599
88.0033,28.3912
90.1567,27.8638
92.29,28.125
94.3033,29.8013
96.3933,28.7081
98.43,29.4599
100.477,29.316
102.607,28.169
104.637,29.5567
106.693,29.1734
108.707,29.8013
110.81,28.5261
112.933,28.2575
115,29.0323
117.073,28.9389
119.17,28.6169
121.263,28.6624
123.287,29.654
125.353,29.0323
127.487,28.125
129.57,28.8
131.663,28.6624
133.7,29.4599
135.82,28.3019
137.933,28.3912
139.927,30.1003
142.03,28.5261
144.117,28.754
146.183,29.0323
148.207,29.654
150.33,28.2575
152.373,29.3638
154.54,27.6923
156.607,29.0323
158.63,29.654
160.697,29.0323
162.73,29.5082
164.827,28.6169
166.9,28.9389
168.93,29.5567
171.1,27.6498
173.22,28.3019
175.297,28.8925
177.42,28.2575
179.473,29.2208
181.607,28.125
183.727,28.3019
185.83,28.5261
187.913,28.8
189.94,29.6053
192.097,27.8207
194.177,28.8462
196.307,28.169
198.36,29.2208
200.487,28.2132
202.53,29.3638
204.627,28.6169
206.847,27.027
208.84,30.1003
210.88,29.4118
212.973,28.6624
215.017,29.3638
217.12,28.5261
219.177,29.1734
221.343,27.6923
223.53,27.439
225.65,28.3019
227.73,28.8462
229.803,28.9389
231.883,28.8462
233.957,28.9389
236.04,28.8
238.127,28.754
240.21,28.8
242.32,28.436
244.497,27.5651
246.593,28.6169
248.61,29.7521
250.683,28.9389
252.883,27.2727
254.92,29.4599
256.987,29.0323
259.12,28.125
261.273,27.8638
263.363,28.7081
265.473,28.436
267.563,28.7081
269.76,27.3141
271.81,29.2683
273.837,29.6053
275.913,28.8925
278.073,27.7778
280.23,27.8207
282.253,29.654
284.363,28.436
286.427,29.0792
288.433,29.9003
290.477,29.3638
292.5,29.654
294.523,29.654
296.62,28.6169
298.757,28.0811
300.883,28.2132
302.873,30.1508
304.853,30.303
306.92,29.0323
309.047,28.2132
311.187,28.0374
313.247,29.1262
315.317,28.9855
317.29,30.4054
319.307,29.7521
321.32,29.8013
323.347,29.6053
325.483,28.0811
327.633,27.907
329.69,29.1734
331.797,28.481
333.883,28.754
336.037,27.8638
338.11,28.9389
340.163,29.2208
342.2,29.4599
344.323,28.2575
346.473,27.907
348.593,28.3019
350.643,29.2683
352.743,28.5714
354.843,28.5714
356.873,29.5567
358.997,28.2575
361.073,28.8925
363.14,29.0323
365.287,27.9503
367.193,31.4685
369.24,29.316
371.313,28.9389
373.283,30.4569
375.407,28.2575
377.62,27.1084
379.677,29.1734
381.713,29.4599
383.763,29.2683
385.927,27.735
388.03,28.5261
390.167,28.0811
392.233,29.0323
394.407,27.6074
396.453,29.316
398.563,28.436
400.64,28.8925
402.81,27.6498
404.893,28.8
406.963,28.9855
409.053,28.7081
411.177,28.2575
413.29,28.3912
415.333,29.3638
417.387,29.2208
419.51,28.2575
421.51,30
423.6,28.7081
425.727,28.2132
427.91,27.4809
430.063,27.8638
432.133,28.9855
434.19,29.1734
436.27,28.8462
438.453,27.4809
440.567,28.3912
442.667,28.5714
444.73,29.0792
446.917,27.439
449.12,27.2315
451.19,28.9855
453.227,29.4599
455.287,29.1262
457.363,28.8925
459.457,28.6624
461.467,29.8507
463.563,28.6169
465.61,29.316
467.647,29.4599
469.71,29.0792
471.92,27.1493
474.007,28.754
476.12,28.3912
478.19,28.9855
480.3,28.436
482.323,29.654
484.377,29.2208
486.45,28.9389
488.597,27.9503
490.653,29.1734
492.813,27.7778
494.867,29.2208
